APPL,438000000,1.06
AMZN,498000000,0.00
ZM,111800000,0.00
ZM,158.62,375,0
APPL,286.22,300,1
APPL,284.04,250,1
APPL,283.73,350,0
ZM,159.35,325,1
ZM,164.24,225,0
ZM,164.23,300,1
ZM,159.15,150,0
ZM,155.68,375,0
APPL,280.97,350,1
APPL,285.75,0,0
ZM,163.84,300,0
AMZN,2391.98,500,1
AMZN,2357.91,500,1
ZM,156.33,25,0
AMZN,2356.08,800,0
AMZN,2400.67,350,0
AMZN,2337.1,200,0
ZM,159.65,125,1
ZM,156.36,150,1
APPL,279.93,400,0
AMZN,2349.12,150,1
AMZN,2364.24,700,0
APPL,278.42,25,1
ZM,158.15,200,1
AMZN,2388.61,850,0
APPL,282.9,0,0
AMZN,2359.63,250,1
APPL,287.03,0,0
ZM,160.23,0,0
ZM,161.44,400,1
ZM,161.45,250,1
APPL,285.36,0,1
ZM,156.67,150,1
ZM,164.18,0,1
APPL,278.06,275,1
APPL,286.27,225,1
APPL,279.66,475,1
AMZN,2350.65,900,1
ZM,161.01,375,0
APPL,280.91,150,1
AMZN,2403.22,650,0
AMZN,2384.28,250,1
ZM,155.81,275,0
AMZN,2385.97,450,1
AMZN,2341.47,550,0
APPL,283.22,475,1
AMZN,2394.42,300,1
ZM,162.51,300,0
ZM,157.24,175,1
APPL,281.19,125,1
ZM,155.67,325,1
APPL,284.47,325,1
ZM,162.54,50,0
APPL,280.14,25,0
APPL,283.22,475,1
AMZN,2376.4,100,0
ZM,158.28,350,1
ZM,158.15,325,1
APPL,280.31,150,0
APPL,283.73,475,0
AMZN,2405.68,750,0
AMZN,2405.09,900,0
APPL,282.8,300,0
AMZN,2348.09,300,1
APPL,284.74,50,1
APPL,281.35,275,1
ZM,162.75,250,0
APPL,285.49,25,0
ZM,156.53,225,0
AMZN,2403.06,600,0
ZM,162.08,75,1
ZM,158.09,475,0
ZM,163.93,200,1
APPL,286.42,375,0
AMZN,2347.58,0,0
APPL,286.29,325,0
APPL,286.98,425,1
APPL,285.27,350,0
ZM,162.81,275,1
AMZN,2374.61,400,0
ZM,162.85,150,0
ZM,159.95,300,0
ZM,163.07,125,1
AMZN,2390.48,600,1
AMZN,2363.33,350,0
APPL,277.89,50,0
ZM,158.45,450,1
ZM,162.55,100,0
AMZN,2412.55,200,1
AMZN,2385.43,300,0
AMZN,2342.33,250,0
ZM,156.46,225,1
ZM,158.66,225,1
APPL,281.96,275,0
ZM,158.86,225,0
AMZN,2407.21,850,1
AMZN,2400.85,100,0
AMZN,2367.17,200,0
APPL,286.47,275,1
ZM,159.78,0,1
APPL,284.2,325,0
ZM,158.65,250,1
ZM,156.13,125,1
ZM,159.18,175,0
ZM,163.38,175,0
ZM,163.58,25,0
APPL,281.68,300,0
ZM,163.51,425,1
APPL,283.97,400,0
ZM,155.86,450,0
AMZN,2356.2,350,1
APPL,287.23,475,0
AMZN,2350.87,350,1
AMZN,2364.82,550,1
ZM,162.27,425,0
APPL,287.31,425,0
AMZN,2397.44,50,0
AMZN,2374.43,900,0
APPL,279.9,225,0
ZM,161.63,250,1
AMZN,2379.16,0,1
AMZN,2342.26,800,1
ZM,162.83,300,0
APPL,280.27,25,1
APPL,284.15,425,0
AMZN,2361.98,700,0
APPL,283.44,475,0
APPL,278.86,325,0
AMZN,2409.78,400,1
AMZN,2374.95,500,1
APPL,281.57,275,1
AMZN,2394.63,750,0
AMZN,2340.28,700,1
AMZN,2353.43,400,1
AMZN,2371.44,100,1
ZM,158.69,100,1
AMZN,2360.25,300,1
ZM,159.5,100,0
ZM,163.57,400,1
AMZN,2354.43,300,0
APPL,281.15,450,1
APPL,279.48,150,1
ZM,164.36,200,1
ZM,161.39,125,0
ZM,162.42,300,0
ZM,157.38,25,0
APPL,285.43,325,1
APPL,277.97,275,0
AMZN,2375.59,650,0
ZM,156.49,450,0
APPL,278.33,425,1
ZM,163.83,200,1
APPL,281.9,175,0
AMZN,2350.65,500,1
AMZN,2390.31,250,0
APPL,287.37,300,0
APPL,284.21,200,1
AMZN,2393.51,650,1
APPL,286.5,250,1
APPL,280.51,250,0
APPL,287.77,150,0
ZM,159.15,25,1
ZM,155.72,325,0
APPL,282.21,450,1
ZM,162.53,450,0
ZM,164.33,325,1
ZM,155.65,250,1
AMZN,2402.25,0,1
APPL,278.53,300,0
APPL,285.04,325,0
AMZN,2335.34,150,1
APPL,278.31,400,0
APPL,285.34,50,1
APPL,282.48,400,0
AMZN,2353.38,800,0
APPL,280.33,150,0
APPL,285.56,150,1
AMZN,2377.79,350,1
APPL,283.92,225,1
APPL,283.88,450,0
AMZN,2387.9,900,1
APPL,281.78,125,1
APPL,282.54,150,0
AMZN,2343.95,700,0
AMZN,2366.08,550,1
APPL,283.84,400,0
APPL,279.79,75,1
APPL,283.83,25,1
APPL,280.89,25,1
ZM,160.54,150,1
APPL,286.12,400,0
ZM,156.75,100,1
ZM,163.06,350,0
ZM,159.04,425,0
AMZN,2364.03,600,0
ZM,156.7,375,0
APPL,284.02,125,0
AMZN,2414.57,500,1
AMZN,2391.55,600,0
ZM,158.84,425,1
APPL,286.81,75,0
ZM,157.42,125,1
AMZN,2396.06,50,0
AMZN,2365.58,450,1
AMZN,2339.34,50,0
APPL,287.14,450,1
ZM,161.95,475,0
APPL,287.7,350,0
AMZN,2391.03,500,0
ZM,162.87,275,1
APPL,286.05,150,1
AMZN,2365.98,350,1
AMZN,2388.78,600,0
AMZN,2391.12,650,0
APPL,280.17,75,1
ZM,163.29,100,0
APPL,280.72,25,1
AMZN,2406.83,550,0
AMZN,2369.48,900,0
AMZN,2363.25,0,1
AMZN,2367.15,800,0
ZM,163.04,150,1
APPL,282.82,275,0
AMZN,2357.49,550,0
APPL,287.53,125,1
ZM,163.42,75,1
ZM,160.77,250,0
AMZN,2356.72,250,1
AMZN,2387.99,150,0
APPL,283.82,75,1
APPL,281.66,225,0
AMZN,2406.65,50,0
AMZN,2349.01,50,1
AMZN,2391.04,400,0
AMZN,2393.81,300,0
APPL,286.18,400,0
AMZN,2396.02,250,0
ZM,159.72,125,1
AMZN,2384.3,150,1
AMZN,2398.61,250,1
ZM,163.95,250,0
APPL,285.4,175,0
AMZN,2391.3,900,1
AMZN,2394.53,500,1
APPL,283.26,100,1
APPL,278.35,400,1
AMZN,2370.0,650,1
APPL,281.62,150,0
ZM,162.45,125,1
ZM,160.41,50,1
AMZN,2411.88,900,1
AMZN,2379.73,950,0
ZM,159.68,150,1
ZM,161.74,425,1
AMZN,2411.87,350,0
ZM,162.23,275,0
ZM,162.25,75,0
AMZN,2404.08,500,1
APPL,283.84,375,1
APPL,283.09,50,0
AMZN,2350.79,450,1
ZM,160.15,375,0
AMZN,2362.87,450,1
ZM,160.73,50,1
APPL,287.32,200,0
ZM,161.31,200,0
ZM,159.76,350,0
APPL,283.63,375,0
APPL,279.15,250,0
ZM,157.81,200,0
APPL,280.75,150,0
AMZN,2396.01,950,1
ZM,157.95,475,0
APPL,282.09,450,0
APPL,281.8,375,1
AMZN,2359.71,500,1
ZM,157.66,225,0
ZM,162.84,0,1
AMZN,2360.61,150,0
ZM,161.99,0,1
APPL,280.53,75,1
APPL,282.53,125,1
APPL,279.14,400,1
AMZN,2339.39,150,0
ZM,157.54,150,1
ZM,157.63,350,0
ZM,164.35,450,0
ZM,163.7,400,0
AMZN,2412.82,0,0
AMZN,2413.61,500,0
APPL,285.67,425,0
APPL,283.34,350,1
APPL,286.92,75,0
ZM,156.22,100,0
ZM,157.57,375,0
ZM,158.74,450,0
APPL,284.52,350,1
APPL,281.72,275,1
AMZN,2344.11,700,0
APPL,287.08,350,0
ZM,162.59,275,0
AMZN,2351.71,850,1
AMZN,2383.09,200,1
APPL,279.82,425,0
APPL,284.94,225,1
APPL,279.52,325,1
AMZN,2385.81,0,1
APPL,280.01,400,0
APPL,285.88,475,1
ZM,160.23,325,1
APPL,281.5,150,1
AMZN,2348.59,500,1
APPL,285.1,475,1
AMZN,2356.49,600,1
ZM,158.27,50,0
AMZN,2388.56,150,1
APPL,283.78,325,1
ZM,159.92,175,0
AMZN,2370.38,700,1
AMZN,2393.37,350,0
AMZN,2383.59,600,0
APPL,280.09,100,1
APPL,278.03,225,1
AMZN,2364.91,300,1
APPL,281.01,375,0
ZM,161.2,100,1
AMZN,2387.39,200,1
ZM,161.59,175,1
ZM,161.03,100,0
APPL,279.63,300,0
APPL,287.19,225,1
AMZN,2352.35,900,1
ZM,159.48,100,0
AMZN,2376.57,100,1
ZM,160.76,175,0
AMZN,2388.43,450,1
ZM,160.8,300,0
APPL,281.93,250,0
APPL,284.71,125,0
APPL,283.09,475,1
ZM,161.53,475,1
ZM,160.29,425,0
APPL,285.07,150,0
ZM,160.07,300,0
AMZN,2367.03,400,0
AMZN,2347.22,600,1
APPL,281.79,350,0
APPL,278.48,200,0
ZM,159.84,125,1
AMZN,2400.8,100,0
ZM,155.98,375,0
APPL,279.52,50,0
AMZN,2351.06,150,0
AMZN,2402.96,150,1
ZM,164.12,100,0
AMZN,2380.32,700,0
AMZN,2392.5,800,0
ZM,162.05,0,0
ZM,155.92,200,0
AMZN,2362.11,550,1
ZM,157.82,175,1
AMZN,2360.77,550,0
APPL,282.49,50,0
AMZN,2371.5,350,0
ZM,160.97,150,1
APPL,285.38,0,1
APPL,287.72,225,0
AMZN,2339.27,0,1
ZM,156.72,75,0
APPL,278.6,475,0
ZM,159.36,450,1
ZM,158.45,100,0
APPL,280.4,125,0
APPL,280.17,50,1
APPL,284.62,175,1
APPL,278.81,350,0
AMZN,2369.46,800,0
ZM,164.26,0,1
AMZN,2355.81,350,1
ZM,163.81,325,1
ZM,161.87,125,1
AMZN,2371.63,0,1
AMZN,2408.15,750,1
AMZN,2361.46,300,1
APPL,287.43,325,0
APPL,282.3,275,1
APPL,284.42,25,0
AMZN,2348.74,850,1
APPL,285.23,175,0
AMZN,2354.28,350,1
APPL,284.03,250,1
AMZN,2352.03,650,1
AMZN,2346.63,50,1
AMZN,2370.82,650,0
APPL,286.11,75,1
ZM,157.09,300,1
APPL,282.11,200,1
APPL,282.31,475,1
APPL,281.14,250,0
APPL,280.09,150,0
APPL,279.06,400,1
ZM,159.2,0,0
ZM,163.6,300,1
APPL,284.66,475,1
APPL,286.16,300,1
AMZN,2356.33,50,0
APPL,285.89,100,1
ZM,162.08,25,0
APPL,280.88,425,1
APPL,284.53,200,1
ZM,159.01,25,1
APPL,278.36,475,1
APPL,285.2,375,1
APPL,278.46,400,1
APPL,278.13,300,1
AMZN,2392.62,150,1
ZM,163.89,225,0
APPL,282.21,100,0
AMZN,2352.62,0,0
APPL,281.53,400,0
APPL,287.27,150,0
AMZN,2347.89,150,0
APPL,287.38,475,1
ZM,161.11,300,0
AMZN,2402.73,950,1
APPL,279.27,125,1
APPL,286.17,75,1
ZM,157.49,350,1
ZM,157.85,450,0
ZM,159.52,50,0
AMZN,2376.26,950,1
ZM,157.59,400,1
APPL,285.33,450,0
ZM,163.03,375,1
AMZN,2406.07,450,0
AMZN,2336.72,100,0
AMZN,2406.75,0,0
AMZN,2339.18,100,1
AMZN,2336.22,300,1
ZM,157.93,175,1
APPL,285.83,125,1
AMZN,2366.68,250,1
AMZN,2391.97,0,1
ZM,158.23,225,0
APPL,279.98,275,0
AMZN,2347.38,400,0
APPL,281.41,250,1
ZM,159.31,450,1
ZM,163.38,225,0
AMZN,2409.92,750,0
APPL,282.23,225,1
ZM,160.23,250,0
AMZN,2336.55,650,1
APPL,279.02,250,0
ZM,159.67,475,1
APPL,283.84,350,1
AMZN,2355.24,800,1
ZM,158.88,375,1
APPL,278.08,375,0
AMZN,2375.38,800,1
APPL,281.85,125,1
ZM,162.7,475,1
ZM,156.37,400,0
APPL,284.59,0,0
ZM,158.83,300,0
ZM,161.08,50,1
APPL,279.14,475,0
ZM,163.62,200,0
ZM,157.76,425,1
APPL,281.68,425,0
AMZN,2372.54,800,1
AMZN,2357.12,850,1
APPL,283.75,350,1
AMZN,2342.17,450,0
APPL,282.29,400,0
ZM,159.04,25,0
ZM,163.24,125,1
AMZN,2359.83,100,1
ZM,163.31,150,1
AMZN,2350.41,650,1
AMZN,2412.23,550,0
APPL,283.57,275,0
ZM,159.64,100,0
APPL,279.25,275,1
ZM,156.62,375,1
AMZN,2399.74,450,1
AMZN,2339.28,650,0
AMZN,2353.41,100,1
ZM,160.28,450,0
AMZN,2386.6,750,1
AMZN,2352.51,450,1
ZM,157.3,150,0
AMZN,2335.76,600,0
APPL,283.17,200,0
APPL,278.5,225,1
ZM,159.55,375,0
APPL,282.23,75,0
AMZN,2343.06,0,0
APPL,283.26,325,1
APPL,284.24,275,1
ZM,163.33,100,1
APPL,278.33,225,0
AMZN,2359.51,950,0
APPL,280.97,175,1
AMZN,2403.72,850,1
ZM,157.62,150,0
ZM,160.65,450,0
AMZN,2412.99,150,1
APPL,285.05,50,0
AMZN,2338.68,950,0
ZM,156.39,300,0
ZM,164.43,250,0
ZM,161.53,325,1
APPL,287.66,400,0
APPL,282.55,125,0
AMZN,2386.77,450,1
APPL,282.59,0,1
ZM,160.67,200,0
ZM,163.13,250,1
APPL,285.7,300,0
ZM,160.95,400,1
APPL,283.54,150,0
ZM,159.52,275,1
ZM,158.16,250,1
AMZN,2347.5,600,0
APPL,285.65,250,1
ZM,155.59,425,0
AMZN,2377.68,500,1
APPL,284.49,100,1
ZM,158.68,250,0
AMZN,2378.61,150,1
APPL,281.06,375,0
AMZN,2377.05,250,1
APPL,282.97,400,0
APPL,281.89,175,0
AMZN,2344.33,100,0
ZM,155.94,250,0
APPL,280.51,400,1
ZM,163.03,0,0
APPL,279.79,0,0
ZM,162.5,150,1
ZM,158.09,375,1
ZM,160.54,200,1
ZM,159.73,375,0
AMZN,2400.68,250,1
ZM,163.72,375,1
AMZN,2352.3,50,1
APPL,284.19,425,0
AMZN,2385.83,400,1
ZM,162.8,375,0
ZM,156.08,450,0
ZM,158.6,0,1
AMZN,2378.15,900,0
ZM,156.62,375,1
APPL,282.66,275,0
AMZN,2337.64,250,1
ZM,157.04,200,1
AMZN,2348.3,400,0
AMZN,2394.66,50,0
APPL,280.82,175,0
ZM,155.63,325,1
APPL,281.75,350,0
APPL,282.67,325,0
AMZN,2374.59,450,1
AMZN,2383.66,950,0
ZM,159.52,0,1
ZM,161.59,475,0
AMZN,2351.64,800,0
ZM,155.89,450,1
ZM,160.78,225,1
ZM,156.38,300,0
ZM,161.95,400,0
ZM,160.82,300,1
ZM,160.52,125,1
APPL,280.82,125,0
APPL,279.92,425,0
ZM,160.98,100,1
AMZN,2402.75,550,1
ZM,163.5,475,0
AMZN,2388.44,500,1
AMZN,2387.79,200,0
APPL,284.85,325,0
ZM,155.87,200,1
ZM,158.28,425,0
AMZN,2387.66,950,0
AMZN,2405.62,100,1
APPL,283.09,75,1
AMZN,2395.07,300,0
APPL,284.28,425,1
AMZN,2388.57,600,1
AMZN,2365.93,250,1
AMZN,2387.81,800,1
AMZN,2372.11,150,0
ZM,163.27,50,1
ZM,163.36,275,0
AMZN,2384.92,450,0
AMZN,2414.21,100,1
ZM,156.87,225,1
AMZN,2385.26,50,0
AMZN,2383.8,100,1
APPL,284.17,450,1
APPL,282.53,375,0
ZM,162.61,25,1
APPL,285.42,150,0
ZM,160.06,200,0
AMZN,2407.29,550,1
AMZN,2390.93,0,1
AMZN,2407.93,50,1
AMZN,2402.81,300,1
APPL,281.04,200,0
ZM,155.84,150,1
ZM,161.24,225,1
APPL,286.95,100,1
ZM,164.49,75,0
APPL,285.51,425,1
APPL,281.88,25,1
APPL,285.0,0,0
AMZN,2356.61,0,0
ZM,156.32,450,1
AMZN,2385.05,500,1
AMZN,2411.23,900,0
ZM,159.22,100,1
APPL,282.63,0,0
ZM,160.54,475,1
APPL,278.95,450,0
APPL,283.75,250,1
APPL,279.06,25,0
ZM,156.18,50,0
AMZN,2336.45,750,1
ZM,161.24,125,0
ZM,157.8,450,0
AMZN,2392.41,650,1
AMZN,2395.38,650,0
APPL,286.4,150,1
AMZN,2395.89,150,0
APPL,287.02,350,0
APPL,279.58,450,1
APPL,281.38,375,0
ZM,160.43,125,0
AMZN,2408.04,700,0
APPL,285.23,475,0
APPL,286.08,250,0
APPL,286.0,300,1
ZM,163.53,125,1
APPL,281.21,75,1
APPL,283.85,425,0
AMZN,2413.28,650,1
AMZN,2411.93,950,0
AMZN,2345.78,500,1
ZM,158.23,400,1
APPL,286.58,0,0
APPL,279.32,100,1
AMZN,2380.6,750,1
AMZN,2342.61,650,1
APPL,287.58,275,0
AMZN,2394.92,700,1
ZM,162.21,350,1
ZM,158.47,300,0
APPL,284.51,0,1
ZM,156.58,200,1
APPL,285.43,325,0
APPL,287.02,350,0
ZM,156.13,25,0
APPL,285.27,75,0
ZM,161.89,450,1
APPL,287.56,400,0
ZM,155.68,450,1
ZM,156.61,425,0
APPL,284.69,300,0
ZM,161.6,350,0
AMZN,2346.14,750,1
APPL,278.39,75,1
ZM,160.32,475,0
ZM,163.95,450,1
APPL,284.3,225,1
AMZN,2377.33,600,1
ZM,155.86,425,0
ZM,162.53,175,1
AMZN,2356.86,750,1
AMZN,2339.18,750,0
APPL,283.78,75,0
AMZN,2374.12,700,1
AMZN,2392.99,100,1
ZM,156.82,150,0
ZM,157.28,25,1
APPL,282.61,275,1
ZM,158.14,125,1
AMZN,2395.73,200,1
ZM,162.71,75,0
APPL,286.49,50,0
AMZN,2371.12,150,0
AMZN,2398.51,250,0
APPL,284.26,400,0
AMZN,2375.6,650,0
APPL,284.93,100,0
APPL,283.04,150,1
ZM,159.98,125,0
AMZN,2404.67,550,0
AMZN,2385.24,350,1
ZM,162.83,275,0
AMZN,2404.11,350,0
APPL,278.79,75,0
ZM,157.66,175,1
AMZN,2346.58,700,1
AMZN,2356.76,900,1
AMZN,2391.73,150,1
APPL,281.81,75,0
APPL,285.91,350,1
AMZN,2371.46,950,0
ZM,160.72,0,0
AMZN,2391.96,400,1
AMZN,2370.77,50,0
AMZN,2348.47,0,0
ZM,164.46,150,1
ZM,160.17,50,1
APPL,286.05,200,1
APPL,280.54,75,1
ZM,159.77,150,1
ZM,163.59,275,0
AMZN,2352.26,800,1
APPL,279.23,400,1
ZM,162.31,175,1
ZM,164.33,50,0
AMZN,2404.8,300,0
AMZN,2350.93,650,0
APPL,283.17,450,1
AMZN,2379.11,950,0
ZM,163.78,100,1
APPL,285.52,125,0
ZM,161.83,350,0
ZM,155.63,300,1
ZM,161.73,75,0
AMZN,2345.15,450,1
ZM,162.06,100,0
ZM,157.13,0,1
APPL,285.89,425,0
APPL,281.93,275,0
APPL,286.25,25,0
APPL,280.42,275,1
ZM,156.43,300,1
ZM,159.6,0,0
AMZN,2348.35,100,1
AMZN,2373.65,350,0
ZM,160.71,425,1
ZM,160.21,325,1
AMZN,2356.39,650,0
APPL,279.89,450,1
ZM,157.18,375,1
APPL,285.83,225,1
AMZN,2361.39,50,0
AMZN,2359.27,650,0
APPL,281.2,0,1
